"","X","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",131,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"2",124,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"3",451,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"4",689,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"5",320,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"6",420,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"7",987,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"8",150,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"9",489,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"10",143,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"11",323,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"12",550,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"13",740,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"14",430,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"15",303,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"16",264,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"17",456,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"18",970,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"19",950,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
"20",880,0.25,0.25,0.878787878787879,0.88135593220339,0.875,0.750965777231362,0.896551724137931,0.878177966101695,0.878177966101695
