"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",131,256,0.0078125,1,1,1,1,1,1
"2",124,1,0.125,0.985915492957746,0.888888888888889,1,0.935296499216269,0.941176470588235,0.944444444444444
"3",451,256,0.0078125,1,1,1,1,1,1
"4",689,128,0.00390625,0.985915492957746,0.888888888888889,1,0.935296499216269,0.941176470588235,0.944444444444444
"5",320,256,0.0078125,1,1,1,1,1,1
"6",420,256,0.015625,1,1,1,1,1,1
"7",987,128,0.0078125,1,1,1,1,1,1
"8",150,4,0.03125,0.985915492957746,0.888888888888889,1,0.935296499216269,0.941176470588235,0.944444444444444
"9",489,64,0.015625,1,1,1,1,1,1
"10",143,8,0.03125,1,1,1,1,1,1
"11",323,4,0.0625,1,1,1,1,1,1
"12",550,64,0.015625,1,1,1,1,1,1
"13",740,1,0.125,0.985915492957746,0.888888888888889,1,0.935296499216269,0.941176470588235,0.944444444444444
"14",430,256,0.0078125,1,1,1,1,1,1
"15",303,256,0.0078125,1,1,1,1,1,1
"16",264,64,0.00390625,0.985915492957746,0.888888888888889,1,0.935296499216269,0.941176470588235,0.944444444444444
"17",456,256,0.0078125,1,1,1,1,1,1
"18",970,256,0.0078125,1,1,1,1,1,1
"19",950,16,0.03125,0.985915492957746,0.888888888888889,1,0.935296499216269,0.941176470588235,0.944444444444444
"20",880,256,0.015625,1,1,1,1,1,1
