Seed,Cost,Gamma,Acc,Sen,Spe,MCC,F1,AUC
131,256,0.0078125,1,1,1,1,1,1
124,256,0.0078125,1,1,1,1,1,1
451,128,0.0078125,1,1,1,1,1,1
689,256,0.0078125,1,1,1,1,1,1
320,256,0.0078125,1,1,1,1,1,1
420,256,0.03125,1,1,1,1,1,1
987,256,0.0078125,1,1,1,1,1,1
150,256,0.0078125,1,1,1,1,1,1
489,4,0.00390625,0.971830986,0.888888889,0.983870968,0.872759857,0.888888889,0.936379928
143,256,0.0078125,1,1,1,1,1,1
323,4,0.00390625,0.971830986,0.888888889,0.983870968,0.872759857,0.888888889,0.936379928
550,256,0.00390625,1,1,1,1,1,1
740,128,0.0078125,1,1,1,1,1,1
430,256,0.0078125,1,1,1,1,1,1
303,128,0.0078125,1,1,1,1,1,1
264,2,0.00390625,0.929577465,0.555555556,0.983870968,0.645233775,0.666666667,0.769713262
456,256,0.015625,1,1,1,1,1,1
970,256,0.0078125,1,1,1,1,1,1
950,256,0.0078125,1,1,1,1,1,1
880,256,0.0078125,1,1,1,1,1,1
